CodDisciplina;NomeDisciplina;CodTurma;Turno;Campus;DiaAula;InicioAula;FimAula;SalaAula;FrequenciaAula;TipoAula;NomeProfessor;Por
BC0506;Comunicacao e Redes;A3;Noturno;Santo Andre;Segunda-feira;21:00;23:00;A-103-0;semanal;Teorica;Debora Maria Rossi de Medeiros;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;A3;Noturno;Santo Andre;Quarta-feira;19:00;21:00;A-103-0;quinzenal I;Teorica;Debora Maria Rossi de Medeiros;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;B1;Diurno;Santo Andre;Segunda-feira;08:00;10:00;A-104-0;semanal;Teorica;Itana Stiubiener;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;B1;Diurno;Santo Andre;Quarta-feira;10:00;12:00;A-104-0;quinzenal I;Teorica;Itana Stiubiener;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;B1;Noturno;Santo Andre;Segunda-feira;19:00;21:00;A-104-0;semanal;Teorica;Debora Maria Rossi de Medeiros;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;B1;Noturno;Santo Andre;Quarta-feira;21:00;23:00;A-104-0;quinzenal I;Teorica;Debora Maria Rossi de Medeiros;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;B2;Noturno;Santo Andre;Segunda-feira;19:00;21:00;A-105-0;semanal;Teorica;Jesus Pascual Mena Chalco;Bacharelado em Ciencia da Computacao
BC0506;Comunicacao e Redes;B2;Noturno;Santo Andre;Quarta-feira;21:00;23:00;A-105-0;quinzenal I;Teorica;Jesus Pascual Mena Chalco;Bacharelado em Ciencia da Computacao
BC0207;Energia: Origens Conversao e Uso;A;Diurno;Santo Andre;Terca-feira;10:00;12:00;A-104-0;semanal;Teorica;Jose Rubens Maiorino;Bacharelado em Ciencia e Tecnologia
BC0207;Energia: Origens Conversao e Uso;A;Noturno;Santo Andre;Terca-feira;21:00;23:00;A-105-0;semanal;Teorica;Pedro Carajilescov;Bacharelado em Ciencia e Tecnologia
BC1508;Engenharia de Software;A;Diurno;Santo Andre;Segunda-feira;08:00;10:00;S-308-2;semanal;Teorica;Valerio Ramos Batista;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Diurno;Santo Andre;Terca-feira;10:00;12:00;S-308-2;semanal;Teorica;Valerio Ramos Batista;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Diurno;Santo Andre;Quinta-feira;08:00;10:00;S-308-2;quinzenal II;Teorica;Valerio Ramos Batista;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Diurno;Santo Andre;Quinta-feira;08:00;10:00;409-2;quinzenal I;Pratica;Valerio Ramos Batista;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Noturno;Santo Andre;Segunda-feira;19:00;21:00;S-308-2;semanal;Teorica;Francisco de Assis Zampirolli;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Noturno;Santo Andre;Terca-feira;21:00;23:00;S-308-2;semanal;Teorica;Francisco de Assis Zampirolli;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Noturno;Santo Andre;Quinta-feira;19:00;21:00;S-308-2;quinzenal II;Teorica;Francisco de Assis Zampirolli;Bacharelado em Ciencia da Computacao
BC1508;Engenharia de Software;A;Noturno;Santo Andre;Quinta-feira;19:00;21:00;409-2;quinzenal I;Pratica;Francisco de Assis Zampirolli;Bacharelado em Ciencia da Computacao
BC0102;Estrutura da Materia;A;Diurno;Santo Andre;Terca-feira;10:00;12:00;A-106-0;semanal;Teorica;Gabriel Teixeira Landi;Bacharelado em Ciencia e Tecnologia
BC0102;Estrutura da Materia;A;Diurno;Santo Andre;Quinta-feira;10:00;12:00;A-106-0;quinzenal II;Teorica;Gabriel Teixeira Landi;Bacharelado em Ciencia e Tecnologia
BC0102;Estrutura da Materia;A;Noturno;Santo Andre;Terca-feira;19:00;21:00;A-106-0;semanal;Teorica;Cedric Rocha Leao;Bacharelado em Ciencia e Tecnologia
BC0102;Estrutura da Materia;A;Noturno;Santo Andre;Quinta-feira;21:00;23:00;A-106-0;quinzenal II;Teorica;Cedric Rocha Leao;Bacharelado em Ciencia e Tecnologia
BC0602;Estrutura e Dinamica Social;A;Diurno;Santo Andre;Terca-feira;08:00;10:00;A-104-0;semanal;Teorica;Ana Keila Mosca Pinezi;Bacharelado em Ciencia e Tecnologia
BC0602;Estrutura e Dinamica Social;A;Diurno;Santo Andre;Quinta-feira;08:00;10:00;A-104-0;quinzenal I;Teorica;Ana Keila Mosca Pinezi;Bacharelado em Ciencia e Tecnologia
BC0602;Estrutura e Dinamica Social;A;Noturno;Santo Andre;Terca-feira;19:00;21:00;A-105-0;semanal;Teorica;Adriana Capuano de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0602;Estrutura e Dinamica Social;A;Noturno;Santo Andre;Quinta-feira;19:00;21:00;A-105-0;quinzenal I;Teorica;Adriana Capuano de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A1;Diurno;Santo Andre;Terca-feira;16:00;18:00;A-113-0;semanal;Teorica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A1;Diurno;Santo Andre;Quinta-feira;16:00;18:00;A-113-0;semanal;Teorica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A1;Diurno;Santo Andre;Terca-feira;14:00;16:00;L701;quinzenal I;Pratica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A1;Noturno;Santo Andre;Terca-feira;21:00;23:00;A-113-0;semanal;Teorica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A1;Noturno;Santo Andre;Quinta-feira;21:00;23:00;A-113-0;semanal;Teorica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A1;Noturno;Santo Andre;Terca-feira;19:00;21:00;L701;quinzenal I;Pratica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A2;Diurno;Santo Andre;Terca-feira;16:00;18:00;A-113-0;semanal;Teorica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A2;Diurno;Santo Andre;Quinta-feira;16:00;18:00;A-113-0;semanal;Teorica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A2;Diurno;Santo Andre;Terca-feira;14:00;16:00;L701;quinzenal II;Pratica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A2;Noturno;Santo Andre;Terca-feira;21:00;23:00;A-113-0;semanal;Teorica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A2;Noturno;Santo Andre;Quinta-feira;21:00;23:00;A-113-0;semanal;Teorica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A2;Noturno;Santo Andre;Terca-feira;19:00;21:00;L701;quinzenal II;Pratica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A3;Diurno;Santo Andre;Terca-feira;16:00;18:00;A-113-0;semanal;Teorica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A3;Diurno;Santo Andre;Quinta-feira;16:00;18:00;A-113-0;semanal;Teorica;Wanius Jose Garcia da Silva;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A3;Diurno;Santo Andre;Terca-feira;14:00;16:00;403-3;quinzenal I;Pratica;Jose Javier Saez Acuma;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A3;Noturno;Santo Andre;Terca-feira;21:00;23:00;A-113-0;semanal;Teorica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A3;Noturno;Santo Andre;Quinta-feira;21:00;23:00;A-113-0;semanal;Teorica;Pedro Galli Mercadante;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;A3;Noturno;Santo Andre;Terca-feira;19:00;21:00;403-3;quinzenal I;Pratica;Jose Javier Saez Acuna;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B1;Diurno;Santo Andre;Terca-feira;14:00;16:00;A-114-0;semanal;Teorica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B1;Diurno;Santo Andre;Quinta-feira;14:00;16:00;A-114-0;semanal;Teorica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B1;Diurno;Santo Andre;Terca-feira;16:00;18:00;403-3;quinzenal II;Pratica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B1;Noturno;Santo Andre;Terca-feira;19:00;21:00;A-114-0;semanal;Teorica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B1;Noturno;Santo Andre;Quinta-feira;19:00;21:00;A-114-0;semanal;Teorica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B1;Noturno;Santo Andre;Terca-feira;21:00;23:00;403-3;quinzenal II;Pratica;Marcelo Augusto Leigui de Oliveira;Bacharelado em Ciencia e Tecnologia
BC0208;Fenomenos Mecanicos;B2;Diurno;Santo Andre;Terca-feira;14:00;16:00;A-114-0;semanal;Teorica;Ana Melva Champi Farfan;Bacharelado em Ciencia e Tecnologia
