BC0307; Transformacoes Quimicas; B1; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; L601; semanal; Pratica; Vani Xavier de Oliveira Junior; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B2; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-104-0; quinzenal II; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B2; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-104-0; semanal; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B2; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; L602; semanal; Pratica; Anderson Orzari Ribeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-104-0; quinzenal II; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-104-0; semanal; Teorica; Rodrigo Maghdissian Cordeiro; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; L605; semanal; Pratica; Ivanise Gaubeur; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B4; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-105-0; quinzenal II; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B4; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-105-0; semanal; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B4; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; L606; semanal; Pratica; Heloisa Franca Maltez; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B5; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-105-0; quinzenal II; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B5; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-105-0; semanal; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B5; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 404-3; semanal; Pratica; Patricia Dantoni Alnis Bezerra; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B6; Diurno; Santo Andre; Quarta-feira; 10:00; 12:00; A-105-0; quinzenal II; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B6; Diurno; Santo Andre; Sexta-feira; 08:00; 10:00; A-105-0; semanal; Teorica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B6; Diurno; Santo Andre; Sexta-feira; 10:00; 12:00; 405-3; semanal; Pratica; Maraisa Goncalves; Bacharelado em Ciencia e Tecnologia;
